temperature,casual_users,registered_users,season
0.344167,331,654,Spring
0.363478,131,670,Spring
0.196364,120,1229,Spring
0.2,108,1454,Spring
0.226957,82,1518,Spring
0.204348,88,1518,Spring
0.196522,148,1362,Spring
0.165,68,891,Spring
0.138333,54,768,Spring
0.150833,41,1280,Spring
0.169091,43,1220,Spring
0.172727,25,1137,Spring
0.165,38,1368,Spring
0.16087,54,1367,Spring
0.233333,222,1026,Spring
0.231667,251,953,Spring
0.175833,117,883,Spring
0.216667,9,674,Spring
0.292174,78,1572,Spring
0.261667,83,1844,Spring
0.1775,75,1468,Spring
0.0591304,93,888,Spring
0.0965217,150,836,Spring
0.0973913,86,1330,Spring
0.223478,186,1799,Spring
0.2175,34,472,Spring
0.195,15,416,Spring
0.203478,38,1129,Spring
0.196522,123,975,Spring
0.216522,140,956,Spring
0.180833,42,1459,Spring
0.192174,47,1313,Spring
0.26,72,1454,Spring
0.186957,61,1489,Spring
0.211304,88,1620,Spring
0.233333,100,905,Spring
0.285833,354,1269,Spring
0.271667,120,1592,Spring
0.220833,64,1466,Spring
0.134783,53,1552,Spring
0.144348,47,1491,Spring
0.189091,149,1597,Spring
0.2225,288,1184,Spring
0.316522,397,1192,Spring
0.415,208,1705,Spring
0.266087,140,1675,Spring
0.318261,218,1897,Spring
0.435833,259,2216,Spring
0.521667,579,2348,Spring
0.399167,532,1103,Spring
0.285217,639,1173,Spring
0.303333,195,912,Spring
0.182222,74,1376,Spring
0.221739,139,1778,Spring
0.295652,100,1707,Spring
0.364348,120,1341,Spring
0.2825,424,1545,Spring
0.343478,694,1708,Spring
0.407273,81,1365,Spring
0.266667,137,1714,Spring
0.335,231,1903,Spring
0.198333,123,1562,Spring
0.261667,214,1730,Spring
0.384167,640,1437,Spring
0.376522,114,491,Spring
0.261739,244,1628,Spring
0.2925,316,1817,Spring
0.295833,191,1700,Spring
0.389091,46,577,Spring
0.316522,247,1730,Spring
0.329167,724,1408,Spring
0.384348,982,1435,Spring
0.325217,359,1687,Spring
0.317391,289,1767,Spring
0.365217,321,1871,Spring
0.415,424,2320,Spring
0.54,884,2355,Spring
0.4725,1424,1693,Spring
0.3325,1047,1424,Spring
0.430435,401,1676,Summer
0.441667,460,2243,Summer
0.346957,203,1918,Summer
0.285,166,1699,Summer
0.264167,300,1910,Summer
0.265833,981,1515,Summer
0.253043,472,1221,Summer
0.264348,222,1806,Summer
0.3025,317,2108,Summer
0.3,168,1368,Summer
0.268333,179,1506,Summer
0.3,307,1920,Summer
0.315,898,1354,Summer
0.378333,1651,1598,Summer
0.573333,734,2381,Summer
0.414167,167,1628,Summer
0.390833,413,2395,Summer
0.4375,571,2570,Summer
0.335833,172,1299,Summer
0.3425,879,1576,Summer
0.426667,1188,1707,Summer
0.595652,855,2493,Summer
0.5025,257,1777,Summer
0.4125,209,1953,Summer
0.4675,529,2738,Summer
0.446667,642,2484,Summer
0.430833,121,674,Summer
0.456667,1558,2186,Summer
0.5125,669,2760,Summer
0.505833,409,2795,Summer
0.595,613,3331,Summer
0.459167,745,3444,Summer
0.336667,177,1506,Summer
0.46,1462,2574,Summer
0.581667,1710,2481,Summer
0.606667,773,3300,Summer
0.631667,678,3722,Summer
0.62,547,3325,Summer
0.6175,569,3489,Summer
0.51,878,3717,Summer
0.4725,1965,3347,Summer
0.451667,1138,2213,Summer
0.549167,847,3554,Summer
0.616667,603,3848,Summer
0.414167,255,2378,Summer
0.459167,614,3819,Summer
0.479167,894,3714,Summer
0.52,1612,3102,Summer
0.528333,1401,2932,Summer
0.5325,664,3698,Summer
0.5325,694,4109,Summer
0.5425,550,3632,Summer
0.535,695,4169,Summer
0.5125,692,3413,Summer
0.520833,902,2507,Summer
0.5625,1582,2971,Summer
0.5775,773,3185,Summer
0.561667,678,3445,Summer
0.55,536,3319,Summer
0.530833,735,3840,Summer
0.536667,909,4008,Summer
0.6025,2258,3547,Summer
0.604167,1576,3084,Summer
0.631667,836,3438,Summer
0.66,659,3833,Summer
0.660833,740,4238,Summer
0.708333,758,3919,Summer
0.681667,871,3808,Summer
0.655833,2001,2757,Summer
0.6675,2355,2433,Summer
0.733333,1549,2549,Summer
0.775,673,3309,Summer
0.764167,513,3461,Summer
0.715,736,4232,Summer
0.62,898,4414,Summer
0.635,1869,3473,Summer
0.648333,1685,3221,Summer
0.678333,673,3875,Summer
0.7075,763,4070,Summer
0.775833,676,3725,Summer
0.808333,563,3352,Summer
0.755,815,3771,Summer
0.725,1729,3237,Summer
0.6925,1467,2993,Summer
0.635,863,4157,Summer
0.604167,727,4164,Summer
0.626667,769,4411,Summer
0.628333,545,3222,Summer
0.649167,863,3981,Summer
0.696667,1807,3312,Summer
0.699167,1639,3105,Summer
0.635,699,3311,Summer
0.680833,774,4061,Fall
0.733333,661,3846,Fall
0.728333,746,4044,Fall
0.724167,969,4022,Fall
0.695,1782,3420,Fall
0.68,1920,3385,Fall
0.6825,854,3854,Fall
0.744167,732,3916,Fall
0.728333,848,4377,Fall
0.696667,1027,4488,Fall
0.7225,1246,4116,Fall
0.738333,2204,2915,Fall
0.716667,2282,2367,Fall
0.726667,3065,2978,Fall
0.746667,1031,3634,Fall
0.72,784,3845,Fall
0.75,754,3838,Fall
0.709167,692,3348,Fall
0.733333,1988,3348,Fall
0.7475,1743,3138,Fall
0.7625,723,3363,Fall
0.794167,662,3596,Fall
0.746667,748,3594,Fall
0.680833,888,4196,Fall
0.663333,1318,4220,Fall
0.686667,2418,3505,Fall
0.719167,2006,3296,Fall
0.746667,841,3617,Fall
0.776667,752,3789,Fall
0.768333,644,3688,Fall
0.815,632,3152,Fall
0.848333,562,2825,Fall
0.849167,987,2298,Fall
0.83,1050,2556,Fall
0.743333,568,3272,Fall
0.771667,750,3840,Fall
0.775,755,3901,Fall
0.779167,606,3784,Fall
0.838333,670,3176,Fall
0.804167,1559,2916,Fall
0.805833,1524,2778,Fall
0.771667,729,3537,Fall
0.783333,801,4044,Fall
0.731667,467,3107,Fall
0.71,799,3777,Fall
0.710833,1023,3843,Fall
0.716667,1521,2773,Fall
0.7425,1298,2487,Fall
0.765,846,3480,Fall
0.775,907,3695,Fall
0.766667,884,3896,Fall
0.7175,812,3980,Fall
0.708333,1051,3854,Fall
0.685833,1504,2646,Fall
0.676667,1338,2482,Fall
0.665833,775,3563,Fall
0.700833,721,4004,Fall
0.723333,668,4026,Fall
0.711667,639,3166,Fall
0.685,797,3356,Fall
0.6975,1914,3277,Fall
0.710833,1249,2624,Fall
0.691667,833,3925,Fall
0.640833,1281,4614,Fall
0.673333,949,4181,Fall
0.684167,435,3107,Fall
0.7,768,3893,Fall
0.68,226,889,Fall
0.707059,1415,2919,Fall
0.636667,729,3905,Fall
0.639167,775,4429,Fall
0.656667,688,4370,Fall
0.655,783,4332,Fall
0.643333,875,3852,Fall
0.669167,1935,2549,Fall
0.709167,2521,2419,Fall
0.673333,1236,2115,Fall
0.54,204,2506,Fall
0.599167,118,1878,Fall
0.633913,153,1689,Fall
0.65,417,3127,Fall
0.66,1750,3595,Fall
0.653333,1633,3413,Fall
0.644348,690,4023,Fall
0.650833,701,4062,Fall
0.673333,647,4138,Fall
0.5775,428,3231,Fall
0.469167,742,4018,Fall
0.491667,1434,3077,Fall
0.5075,1353,2921,Fall
0.549167,691,3848,Fall
0.561667,438,3203,Fall
0.595,539,3813,Fall
0.628333,555,4240,Fall
0.609167,258,2137,Winter
0.606667,1776,3647,Winter
0.634167,1544,3466,Winter
0.649167,684,3946,Winter
0.636667,477,3643,Winter
0.635,480,3427,Winter
0.616667,653,4186,Winter
0.564167,830,4372,Winter
0.41,480,1949,Winter
0.356667,616,2302,Winter
0.384167,330,3240,Winter
0.484167,486,3970,Winter
0.538333,559,4267,Winter
0.494167,639,4126,Winter
0.510833,949,4036,Winter
0.521667,2235,3174,Winter
0.540833,2397,3114,Winter
0.570833,1514,3603,Winter
0.566667,667,3896,Winter
0.543333,217,2199,Winter
0.589167,290,2623,Winter
0.550833,529,3115,Winter
0.506667,1899,3318,Winter
0.511667,1748,3293,Winter
0.534167,713,3857,Winter
0.5325,637,4111,Winter
0.541739,254,2170,Winter
0.475833,471,3724,Winter
0.4275,676,3628,Winter
0.4225,1499,2809,Winter
0.421667,1619,2762,Winter
0.463333,699,3488,Winter
0.471667,695,3992,Winter
0.484167,404,3490,Winter
0.47,240,2419,Winter
0.330833,456,3291,Winter
0.254167,57,570,Winter
0.319167,885,2446,Winter
0.34,362,3307,Winter
0.400833,410,3658,Winter
0.3775,370,3816,Winter
0.408333,318,3656,Winter
0.403333,470,3576,Winter
0.326667,1156,2770,Winter
0.348333,952,2697,Winter
0.395,373,3662,Winter
0.408333,376,3829,Winter
0.4,305,3804,Winter
0.38,190,2743,Winter
0.324167,440,2928,Winter
0.356667,1275,2792,Winter
0.440833,1004,2713,Winter
0.53,595,3891,Winter
0.53,449,3746,Winter
0.456667,145,1672,Winter
0.341667,139,2914,Winter
0.274167,245,3147,Winter
0.329167,943,2720,Winter
0.463333,787,2733,Winter
0.4475,220,2545,Winter
0.416667,69,1538,Winter
0.440833,112,2454,Winter
0.373333,560,935,Winter
0.375,1095,1697,Winter
0.375833,1249,1819,Winter
0.459167,810,2261,Winter
0.503478,253,3614,Winter
0.458333,96,2818,Winter
0.325,188,3425,Winter
0.3125,182,3545,Winter
0.314167,268,3672,Winter
0.299167,706,2908,Winter
0.330833,634,2851,Winter
0.385833,233,3578,Winter
0.4625,126,2468,Winter
0.41,50,655,Winter
0.265833,150,3172,Winter
0.290833,261,3359,Winter
0.275,502,2688,Winter
0.220833,377,2366,Winter
0.238333,143,3167,Winter
0.2825,155,3368,Winter
0.3175,178,3562,Winter
0.4225,181,3528,Winter
0.375,178,3399,Winter
0.258333,275,2464,Winter
0.238333,220,2211,Winter
0.276667,260,3143,Winter
0.385833,216,3534,Winter
0.428333,107,2553,Spring
0.423333,227,2841,Spring
0.373333,163,2046,Spring
0.3025,155,856,Spring
0.274783,303,451,Spring
0.321739,430,887,Spring
0.325,103,1059,Spring
0.29913,255,2047,Spring
0.248333,254,2169,Spring
0.311667,491,2508,Spring
0.41,665,1820,Spring
0.37,686,1608,Spring
0.273043,244,1707,Spring
0.15,89,2147,Spring
0.1075,95,2273,Spring
0.265833,140,3132,Spring
0.334167,307,3791,Spring
0.393333,1070,3451,Spring
0.3375,599,2826,Spring
0.224167,106,2270,Spring
0.308696,173,3425,Spring
0.274167,92,2085,Spring
0.3825,269,3828,Spring
0.274167,174,3040,Spring
0.18,333,2160,Spring
0.166667,284,2027,Spring
0.19,217,2081,Spring
0.373043,127,2808,Spring
0.303333,109,3267,Spring
0.19,130,3162,Spring
0.2175,115,3048,Spring
0.173333,67,1234,Spring
0.1625,196,1781,Spring
0.218333,145,2287,Spring
0.3425,439,3900,Spring
0.294167,467,3803,Spring
0.341667,244,3831,Spring
0.425,269,3187,Spring
0.315833,775,3248,Spring
0.2825,558,2685,Spring
0.269167,126,3498,Spring
0.39,324,4185,Spring
0.469167,304,4275,Spring
0.399167,190,3571,Spring
0.313333,310,3841,Spring
0.264167,384,2448,Spring
0.265833,318,2629,Spring
0.282609,206,3578,Spring
0.354167,199,4176,Spring
0.256667,109,2693,Spring
0.265,163,3667,Spring
0.280833,227,3604,Spring
0.224167,192,1977,Spring
0.1275,73,1456,Spring
0.2225,94,3328,Spring
0.319167,135,3787,Spring
0.348333,141,4028,Spring
0.316667,74,2931,Spring
0.343333,349,3805,Spring
0.346667,1435,2883,Spring
0.28,618,2071,Spring
0.28,502,2627,Spring
0.287826,163,3614,Spring
0.395833,394,4379,Spring
0.454167,516,4546,Spring
0.4075,246,3241,Spring
0.290833,317,2415,Spring
0.279167,515,2874,Spring
0.366667,253,4069,Spring
0.359167,229,4134,Spring
0.344348,65,1769,Spring
0.485833,325,4665,Spring
0.353333,246,2948,Spring
0.414167,956,3110,Spring
0.325833,710,2713,Spring
0.243333,203,3130,Spring
0.258333,221,3735,Spring
0.404167,432,4484,Spring
0.5275,486,4896,Spring
0.410833,447,4122,Spring
0.2875,968,3150,Spring
0.361739,1658,3253,Spring
0.466667,838,4460,Spring
0.565,762,5085,Spring
0.5725,997,5315,Spring
0.5575,1005,5187,Spring
0.435833,548,3830,Spring
0.514167,3155,4681,Spring
0.4725,2207,3685,Spring
0.545,982,5171,Spring
0.560833,1051,5042,Spring
0.531667,1122,5108,Summer
0.554167,1334,5537,Summer
0.601667,2469,5893,Summer
0.5025,1033,2339,Summer
0.4375,1532,3464,Summer
0.445833,795,4763,Summer
0.323333,531,4571,Summer
0.484167,674,5024,Summer
0.494167,834,5299,Summer
0.37,796,4663,Summer
0.424167,2301,3934,Summer
0.425833,2347,3694,Summer
0.433913,1208,4728,Summer
0.466667,1348,5424,Summer
0.541667,1058,5378,Summer
0.435,1192,5265,Summer
0.403333,1807,4653,Summer
0.4375,3252,3605,Summer
0.5,2230,2939,Summer
0.489167,905,4680,Summer
0.446667,819,5099,Summer
0.348696,482,4380,Summer
0.3975,663,4746,Summer
0.4425,1252,5146,Summer
0.495,2795,4665,Summer
0.606667,2846,4286,Summer
0.664167,1198,5172,Summer
0.608333,989,5702,Summer
0.463333,347,4020,Summer
0.498333,846,5719,Summer
0.526667,1340,5950,Summer
0.57,2541,4083,Summer
0.396667,120,907,Summer
0.321667,195,3019,Summer
0.413333,518,5115,Summer
0.476667,655,5541,Summer
0.498333,475,4551,Summer
0.4575,1014,5219,Summer
0.376667,1120,3100,Summer
0.458333,2229,4075,Summer
0.464167,665,4907,Summer
0.613333,653,5087,Summer
0.564167,667,5502,Summer
0.56,764,5657,Summer
0.6275,1069,5227,Summer
0.621667,2496,4387,Summer
0.5625,2135,4224,Summer
0.5375,1008,5265,Summer
0.581667,738,4990,Summer
0.575,620,4097,Summer
0.505833,1026,5546,Summer
0.533333,1319,5711,Summer
0.564167,2622,4807,Summer
0.6125,2172,3946,Summer
0.573333,342,2501,Summer
0.611667,625,4490,Summer
0.636667,991,6433,Summer
0.593333,1242,6142,Summer
0.564167,1521,6118,Summer
0.6,3410,4884,Summer
0.620833,2704,4425,Summer
0.598333,630,3729,Summer
0.615,819,5254,Summer
0.621667,766,4494,Summer
0.655,1059,5711,Summer
0.68,1417,5317,Summer
0.6925,2855,3681,Summer
0.69,3283,3308,Summer
0.7125,2557,3486,Summer
0.7225,880,4863,Summer
0.656667,745,6110,Summer
0.68,1100,6238,Summer
0.654167,533,3594,Summer
0.583333,2795,5325,Summer
0.6025,2494,5147,Summer
0.5975,1071,5927,Summer
0.540833,968,6033,Summer
0.554167,1027,6028,Summer
0.6025,1038,6456,Summer
0.649167,1488,6248,Summer
0.710833,2708,4790,Summer
0.726667,2224,4374,Summer
0.720833,1017,5647,Summer
0.653333,477,4495,Summer
0.655833,1173,6248,Summer
0.648333,1180,6183,Summer
0.639167,1563,6102,Summer
0.631667,2963,4739,Summer
0.5925,2634,4344,Summer
0.568333,653,4446,Summer
0.688333,968,5857,Summer
0.7825,872,5339,Summer
0.805833,778,5127,Fall
0.7775,964,4859,Fall
0.731667,2657,4801,Fall
0.743333,2551,4340,Fall
0.715833,1139,5640,Fall
0.630833,1077,6365,Fall
0.6975,1077,6258,Fall
0.749167,921,5958,Fall
0.834167,829,4634,Fall
0.765,1455,4232,Fall
0.815833,1421,4110,Fall
0.781667,904,5323,Fall
0.780833,1052,5608,Fall
0.789167,2562,4841,Fall
0.8275,1405,4836,Fall
0.828333,1366,4841,Fall
0.861667,1448,3392,Fall
0.8225,1203,3469,Fall
0.710833,998,5571,Fall
0.720833,954,5336,Fall
0.716667,975,6289,Fall
0.715833,1032,6414,Fall
0.731667,1511,5988,Fall
0.703333,2355,4614,Fall
0.745833,1920,4111,Fall
0.763333,1088,5742,Fall
0.818333,921,5865,Fall
0.793333,799,4914,Fall
0.77,888,5703,Fall
0.665833,747,5123,Fall
0.595833,1264,3195,Fall
0.6675,2544,4866,Fall
0.741667,1135,5831,Fall
0.750833,1140,6452,Fall
0.724167,1383,6790,Fall
0.776667,1036,5825,Fall
0.781667,1259,5645,Fall
0.755833,2234,4451,Fall
0.721667,2153,4444,Fall
0.730833,1040,6065,Fall
0.713333,968,6248,Fall
0.7175,1074,6506,Fall
0.7525,983,6278,Fall
0.765833,1328,5847,Fall
0.793333,2345,4479,Fall
0.769167,1707,3757,Fall
0.7525,1233,5780,Fall
0.735833,1278,5995,Fall
0.75,1263,6271,Fall
0.755833,1196,6090,Fall
0.715833,1065,4721,Fall
0.6925,2247,4052,Fall
0.700833,2182,4362,Fall
0.720833,1207,5676,Fall
0.726667,1128,5656,Fall
0.706667,1198,6149,Fall
0.719167,1338,6267,Fall
0.723333,1483,5665,Fall
0.678333,2827,5038,Fall
0.635833,1208,3341,Fall
0.635833,1026,5504,Fall
0.649167,1081,5925,Fall
0.6675,1094,6281,Fall
0.695833,1363,6402,Fall
0.7025,1325,6257,Fall
0.661667,1829,4224,Fall
0.653333,1483,3772,Fall
0.703333,989,5928,Fall
0.728333,935,6105,Fall
0.685,1177,6520,Fall
0.706667,1172,6541,Fall
0.764167,1433,5917,Fall
0.753333,2352,3788,Fall
0.696667,2613,3197,Fall
0.7075,1965,4069,Fall
0.725833,867,5997,Fall
0.736667,832,6280,Fall
0.696667,611,5592,Fall
0.703333,1045,6459,Fall
0.659167,1557,4419,Fall
0.61,2570,5657,Fall
0.583333,1118,6407,Fall
0.5775,1070,6697,Fall
0.599167,1050,6820,Fall
0.6125,1054,6750,Fall
0.633333,1379,6630,Fall
0.608333,3160,5554,Fall
0.58,2166,5167,Fall
0.580833,1022,5847,Fall
0.623333,371,3702,Fall
0.5525,788,6803,Fall
0.546667,939,6781,Fall
0.599167,1250,6917,Fall
0.65,2512,5883,Fall
0.529167,2454,5453,Winter
0.514167,1001,6435,Winter
0.55,845,6693,Winter
0.635,787,6946,Winter
0.65,751,6642,Winter
0.619167,1045,6370,Winter
0.5425,2589,5966,Winter
0.526667,2015,4874,Winter
0.520833,763,6015,Winter
0.590833,315,4324,Winter
0.6575,728,6844,Winter
0.6575,891,6437,Winter
0.615,1516,6640,Winter
0.554167,3031,4934,Winter
0.415833,781,2729,Winter
0.383333,874,4604,Winter
0.446667,601,5791,Winter
0.514167,780,6911,Winter
0.435,834,6736,Winter
0.4375,1060,6222,Winter
0.393333,2252,4857,Winter
0.521667,2080,4559,Winter
0.561667,760,5115,Winter
0.468333,922,6612,Winter
0.455833,979,6482,Winter
0.5225,1008,6501,Winter
0.563333,753,4671,Winter
0.484167,2806,5284,Winter
0.464167,2132,4692,Winter
0.4875,830,6228,Winter
0.544167,841,6625,Winter
0.5875,795,6898,Winter
0.55,875,6484,Winter
0.545833,1182,6262,Winter
0.53,2643,5209,Winter
0.4775,998,3461,Winter
0.44,2,20,Winter
0.318182,87,1009,Winter
0.3575,419,5147,Winter
0.365833,466,5520,Winter
0.355,618,5229,Winter
0.343333,1029,4109,Winter
0.325833,1201,3906,Winter
0.319167,378,4881,Winter
0.280833,466,5220,Winter
0.295833,326,4709,Winter
0.352174,340,4975,Winter
0.361667,709,5283,Winter
0.389167,2090,4446,Winter
0.420833,2290,4562,Winter
0.485,1097,5172,Winter
0.343333,327,3767,Winter
0.289167,373,5122,Winter
0.321667,320,5125,Winter
0.345,484,5214,Winter
0.325,1313,4316,Winter
0.3425,922,3747,Winter
0.380833,449,5050,Winter
0.374167,534,5100,Winter
0.353333,615,4531,Winter
0.34,955,1470,Winter
0.368333,1603,2307,Winter
0.278333,532,1745,Winter
0.245833,309,2115,Winter
0.313333,337,4750,Winter
0.291667,123,3836,Winter
0.296667,198,5062,Winter
0.28087,243,5080,Winter
0.298333,362,5306,Winter
0.298333,951,4240,Winter
0.3475,892,3757,Winter
0.4525,555,5679,Winter
0.475833,551,6055,Winter
0.438333,331,5398,Winter
0.255833,340,5035,Winter
0.320833,349,4659,Winter
0.381667,1153,4429,Winter
0.384167,441,2787,Winter
0.435833,329,4841,Winter
0.353333,282,5219,Winter
0.2975,310,5009,Winter
0.295833,425,5107,Winter
0.281667,429,5182,Winter
0.324167,767,4280,Winter
0.3625,538,3248,Winter
0.393333,212,4373,Winter
0.410833,433,5124,Winter
0.3325,333,4934,Winter
0.33,314,3814,Winter
0.326667,221,3402,Spring
0.265833,205,1544,Spring
0.245833,408,1379,Spring
0.231304,174,746,Spring
0.291304,440,573,Spring
0.243333,9,432,Spring
0.254167,247,1867,Spring
0.253333,644,2451,Spring
0.253333,159,1182,Spring
0.255833,364,1432,Spring
0.215833,439,2290,Spring
